id,Team Name,Channel Name,Sender,Message,Time
,kubernetes,kubernetes-users,Unknown,"""yes""","Oct 26, 2017 14:00"
,kubernetes,kubernetes-users,nitinmidha,"""Ok, good luck""","Oct 26, 2017 14:00"
,kubernetes,kubernetes-users,business,"""Thank you!""","Oct 26, 2017 14:00"
,kubernetes,kubernetes-users,smerrill,"""Are you terminating SSL at your ELB in HTTP mode or at your nginx Ingress controller with your ELB in TCP mode? It must be the latter, because ELBs don't supporting proxying WebSocket connections.""","Oct 26, 2017 14:01"
,kubernetes,kubernetes-users,wesmorgan,"""this is in dev in minikube, so no SSL""","Oct 26, 2017 14:02"
,kubernetes,kubernetes-users,smerrill,"""Oh - are you using the nginx Inc. ingress controller?""","Oct 26, 2017 14:16"
,kubernetes,kubernetes-users,kdockery,"""@U7QQ92DPF I may be wrong here, but I don't think the components run independently when using minikube. I think they're all part of the /usr/local/bin/localkube process that you'll find running on the minkube vm. You may have better luck with minikube specific questions in minikube.""","Oct 26, 2017 14:17"
,kubernetes,kubernetes-users,Unknown,"""would someone mind helping me figure out why this yaml is wrong? It’s telling me I’m passing accessModes a string instead of an array: https://pastebin.com/uQ1XKLZM""","Oct 26, 2017 14:17"
,kubernetes,kubernetes-users,kdockery,"""@U7LULHTJL I think it's expecting another space before the -""","Oct 26, 2017 14:19"
,kubernetes,kubernetes-users,Unknown,"""huh. okay, I’ll give that a shot. I’d have thought the online validator would have picked that up. thanks!""","Oct 26, 2017 14:20"
,kubernetes,kubernetes-users,wesmorgan,"""yes""","Oct 26, 2017 14:20"
,kubernetes,kubernetes-users,Unknown,"""unfortunately that doesn’t seem to be the issue. Tried it with one, two and four extra spaces and got the same result""","Oct 26, 2017 14:21"
,kubernetes,kubernetes-users,smerrill,"""The contrib one. I think it's miles better. (And at least in my experience I haven't had to change any config for WebSockets to work.)""","Oct 26, 2017 14:21"
,kubernetes,kubernetes-users,kdockery,"""Oh, try lining up the - with the a in accessModes""","Oct 26, 2017 14:23"
,kubernetes,kubernetes-users,Unknown,"""okay, will do""","Oct 26, 2017 14:24"
,kubernetes,kubernetes-users,kdockery,"""Weird, it worked on my cluster 🤔""","Oct 26, 2017 14:24"
,kubernetes,kubernetes-users,Unknown,"""maybe it’s something above that’s throwing off the interpreter""","Oct 26, 2017 14:25"
,kubernetes,kubernetes-users,kdockery,"""I'm using your exact manifest (I just changed the namespace to default)""","Oct 26, 2017 14:25"
,kubernetes,kubernetes-users,Unknown,"""wow""","Oct 26, 2017 14:25"
,kubernetes,kubernetes-users,kdockery,"""kris-mbp:virtualbox-cluster kris$ cat pv-test.yaml
kind: PersistentVolumeClaim
apiVersion: v1
metadata:
  name: jenkins-home-pvc
  namespace: default
  labels:
    purpose: jenkins-home
    type: amazonEBS
spec:
  accessModes:
  - ReadWriteOnce
  resources:
    requests:
      storage: 20Gi
  selector:
    matchLabels:
      purpose: jenkins-home
kris-mbp:virtualbox-cluster kris$ kubectl --kubeconfig=./config apply -f pv-test.yaml
persistentvolumeclaim ""jenkins-home-pvc"" created""","Oct 26, 2017 14:26"
,kubernetes,kubernetes-users,wesmorgan,"""oh... interesting. thanks, I'll check it out.""","Oct 26, 2017 14:26"
,kubernetes,kubernetes-users,Unknown,"""huh""","Oct 26, 2017 14:26"
,kubernetes,kubernetes-users,kdockery,"""Ha weird""","Oct 26, 2017 14:27"
,kubernetes,kubernetes-users,wesmorgan,"""oh, no, I was already using this. via helm install stable/nginx-ingress""","Oct 26, 2017 14:27"
,kubernetes,kubernetes-users,Unknown,"""if I had to guess, I’d say an rbac issue?""","Oct 26, 2017 14:27"
,kubernetes,kubernetes-users,kdockery,"""Oh, it worked in default for you, but it won't work in jenkins?""","Oct 26, 2017 14:27"
,kubernetes,kubernetes-users,Unknown,"""hmm, now I’m not sure how to proceed with this tutorial now that I can only make it work in default""","Oct 26, 2017 14:28"
,kubernetes,kubernetes-users,kdockery,""":party_parrot:""","Oct 26, 2017 14:28"
,kubernetes,kubernetes-users,Unknown,"""awww yeah""","Oct 26, 2017 14:28"
