id,Team Name,Channel Name,Sender,Message,Time
,kubernetes,kubernetes-users,jennyrose,"""P. S we can totally start early if everyone has their book and deck. Anyone still waiting?""","Apr 23, 2016 17:23"
,kubernetes,kubernetes-users,lavendermoon,"""Mine's due to arrive on Monday! 💖""","Apr 23, 2016 17:27"
,kubernetes,kubernetes-users,alicejanell,"""I just got my tarot stickers in! 😄""","Apr 23, 2016 17:43"
,kubernetes,kubernetes-users,jennyrose,"""@lavendermoon: Excellent 😈""","Apr 23, 2016 17:43"
,kubernetes,kubernetes-users,alicejanell,"""Haha, @jennyrose…I ordered two sets and bookmarked the shop for the future.""","Apr 23, 2016 17:44"
,kubernetes,kubernetes-users,zennifer8,"""I have mine!""","Apr 23, 2016 17:44"
,kubernetes,kubernetes-users,shanbass,"""Yay, are we starting early? That would be awesome!""","Apr 23, 2016 19:37"
,kubernetes,kubernetes-users,allisonbumblingbee,"""Agreed!""","Apr 23, 2016 21:42"
,kubernetes,kubernetes-users,jennyrose,"""As long as everyone has their book and deck, yes!""","Apr 24, 2016 00:40"
,kubernetes,kubernetes-users,rhi,"""May I recommend a group- wide DM for drive to check in with their readiness status by Monday in hopes of getting an early start? I expect some people might not think to check in as obsessively as me, for instance, if they don't deal well with antici-""","Apr 24, 2016 01:24"
,kubernetes,kubernetes-users,daenerys,"""I'm ready 😀""","Apr 24, 2016 03:00"
,kubernetes,kubernetes-users,shanbass,"""@rhi: Good idea.""","Apr 24, 2016 03:50"
,kubernetes,kubernetes-users,astarcat,"""Deck and book in hand here""","Apr 24, 2016 04:39"
,kubernetes,kubernetes-users,jennyrose,"""@astarcat: YAY, did your book come early? I think I remember you saying you were getting yours on Monday as well.""","Apr 24, 2016 04:57"
,kubernetes,kubernetes-users,jennyrose,"""P. S we can totally start early if everyone has their book and deck. Anyone still waiting?""","Apr 23, 2016 17:23"
,kubernetes,kubernetes-users,lavendermoon,"""Mine's due to arrive on Monday! 💖""","Apr 23, 2016 17:27"
,kubernetes,kubernetes-users,alicejanell,"""I just got my tarot stickers in! 😄""","Apr 23, 2016 17:43"
,kubernetes,kubernetes-users,jennyrose,"""@lavendermoon: Excellent 😈""","Apr 23, 2016 17:43"
,kubernetes,kubernetes-users,alicejanell,"""Haha, @jennyrose…I ordered two sets and bookmarked the shop for the future.""","Apr 23, 2016 17:44"
